Finny_GLCode;Finny_GLDescription;BalanceTypeCode;BalanceTypeDescription;GLClassificationCode_RGS versie 3.5;GLClassificationDescr_RGS versie 3.5Description;GLAccountClass_01;GLAccClassDesc_01Description
4075;Bedrijfskleding;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4080;Uitzendkrachten;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4090;Overige personeelskosten;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4095;Werkkostenregeling;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4120;Verzekeringen gebouwen;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4130;Vaste lasten gebouwen;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4180;Mutatie voorziening groot onderhoud;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4220;Verzekeringen machines en installaties;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4400;Motorrijtuigenbelasting;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4420;Verzekeringen vervoermiddelen;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4450;Boetes vervoermiddelen;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4470;Privégebruik auto;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4480;Kilometervergoeding;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4510;Mutatie voorziening dubieuze debiteuren;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4515;Afboeking oninbare debiteuren;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4520;Representatiekosten;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4540;Reis- en verblijfkosten;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4550;Giften / sponsering;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4570;Kleine ondernemersregeling;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4575;Kasverschillen;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4580;Betalingskortingen;W;Winst & Verlies;;;WKpr;Kostprijs van de omzet
4585;Koersverschillen;W;Winst & Verlies;;;WFbe;Financiële baten en lasten
4700;Afschrijvingskosten goodwill;W;Winst & Verlies;;;WAfs;Afschrijvingen op immateriële en materiële vaste activa
4710;Afschrijvingskosten gebouwen;W;Winst & Verlies;;;WAfs;Afschrijvingen op immateriële en materiële vaste activa
4720;Afschrijvingskosten machines en installaties;W;Winst & Verlies;;;WAfs;Afschrijvingen op immateriële en materiële vaste activa
4730;Afschrijvingskosten bedrijfsinventaris;W;Winst & Verlies;;;WAfs;Afschrijvingen op immateriële en materiële vaste activa
4760;Afschrijvingskosten vervoermiddelen;W;Winst & Verlies;;;WAfs;Afschrijvingen op immateriële en materiële vaste activa
4790;Boekwinst -verlies;W;Winst & Verlies;;;WAfs;Afschrijvingen op immateriële en materiële vaste activa
4820;Verzekeringen;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4900;Rente en kosten bank;W;Winst & Verlies;;;WFbe;Financiële baten en lasten
4901;Rente en kosten Belastingdienst;W;Winst & Verlies;;;WFbe;Financiële baten en lasten
4902;Rente Reserve Uitgesteld Salaris;W;Winst & Verlies;;;WFbe;Financiële baten en lasten
4903;Rente spaarrekening;W;Winst & Verlies;;;WFbe;Financiële baten en lasten
4904;Koersresultaat effecten;W;Winst & Verlies;;;WOvt;Opbrengst van vorderingen die tot de vaste activa behoren en van effecten
4905;Boetes belastingdienst;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
4910;Rente rekening-courant directie 1;W;Winst & Verlies;;;WWfa;Waardeveranderingen van financiële vaste activa en van effecten
4911;Rente rekening-courant directie 2;W;Winst & Verlies;;;WWfa;Waardeveranderingen van financiële vaste activa en van effecten
4920;Rente lening u/g 1;W;Winst & Verlies;;;WOvt;Opbrengst van vorderingen die tot de vaste activa behoren en van effecten
4921;Rente lening u/g 2;W;Winst & Verlies;;;WOvt;Opbrengst van vorderingen die tot de vaste activa behoren en van effecten
4922;Rente lening u/g 3;W;Winst & Verlies;;;WOvt;Opbrengst van vorderingen die tot de vaste activa behoren en van effecten
4923;Rente lening u/g 4;W;Winst & Verlies;;;WOvt;Opbrengst van vorderingen die tot de vaste activa behoren en van effecten
4924;Rente lening u/g 5;W;Winst & Verlies;;;WOvt;Opbrengst van vorderingen die tot de vaste activa behoren en van effecten
4950;Rente rekening-courant groepsmaatschappijen 1;W;Winst & Verlies;;;WFbe;Financiële baten en lasten
4951;Rente rekening-courant groepsmaatschappijen 2;W;Winst & Verlies;;;WFbe;Financiële baten en lasten
4952;Rente rekening-courant groepsmaatschappijen 3;W;Winst & Verlies;;;WFbe;Financiële baten en lasten
4953;Rente rekening-courant groepsmaatschappijen 4;W;Winst & Verlies;;;WFbe;Financiële baten en lasten
4954;Rente rekening-courant groepsmaatschappijen 5;W;Winst & Verlies;;;WFbe;Financiële baten en lasten
4960;Rente hypothecaire lening 1;W;Winst & Verlies;;;WFbe;Financiële baten en lasten
4961;Rente hypothecaire lening 2;W;Winst & Verlies;;;WFbe;Financiële baten en lasten
4962;Rente hypothecaire lening 3;W;Winst & Verlies;;;WFbe;Financiële baten en lasten
4963;Rente hypothecaire lening 4;W;Winst & Verlies;;;WFbe;Financiële baten en lasten
4964;Rente hypothecaire lening 5;W;Winst & Verlies;;;WFbe;Financiële baten en lasten
4970;Rente lening o/g 1;W;Winst & Verlies;;;WFbe;Financiële baten en lasten
4971;Rente lening o/g 2;W;Winst & Verlies;;;WFbe;Financiële baten en lasten
4972;Rente lening o/g 3;W;Winst & Verlies;;;WFbe;Financiële baten en lasten
4973;Rente lening o/g 4;W;Winst & Verlies;;;WFbe;Financiële baten en lasten
4974;Rente lening o/g 5;W;Winst & Verlies;;;WFbe;Financiële baten en lasten
4980;Rente lease 1;W;Winst & Verlies;;;WFbe;Financiële baten en lasten
4981;Rente lease 2;W;Winst & Verlies;;;WFbe;Financiële baten en lasten
4982;Rente lease 3;W;Winst & Verlies;;;WFbe;Financiële baten en lasten
4983;Rente lease 4;W;Winst & Verlies;;;WFbe;Financiële baten en lasten
4984;Rente lease 5;W;Winst & Verlies;;;WFbe;Financiële baten en lasten
4990;Oprenting lijfrenteverplichting;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
7200;Prijsverschillen;W;Winst & Verlies;;;WKpr;Kostprijs van de omzet
7205;Kasverschillen;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
7320;Emballage;W;Winst & Verlies;;;WKpr;Kostprijs van de omzet
8200;Omzet;W;Winst & Verlies;;;WOmz;Netto-omzet
8250;Omzet vrijgesteld;W;Winst & Verlies;WOmzNopOlg;1e. Netto-omzet uit geproduceerde goederen belast met 0% of niet bij u belast;WOmz;Netto-omzet
8320;Omzet buitenland buiten EU (diensten);W;Winst & Verlies;;;WOmz;Netto-omzet
8350;Blanco omzet buitenland;W;Winst & Verlies;;;WOmz;Netto-omzet
8400;Betalingsverschillen verkoop;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
8410;Verkoopkortingen;W;Winst & Verlies;;;WOmz;Netto-omzet
8420;Prijsverschillen;W;Winst & Verlies;;;WOmz;Netto-omzet
9000;Buitengewone baten;W;Winst & Verlies;;;WOvb;Overige bedrijfsopbrengsten
9010;Buitengewone lasten;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
9500;Resultaat deelnemingen 1;W;Winst & Verlies;;;WRed;Aandeel in resultaat van ondernemingen waarin wordt deelgenomen belastingen over de winst of het verlies
9510;Resultaat deelnemingen 2;W;Winst & Verlies;;;WRed;Aandeel in resultaat van ondernemingen waarin wordt deelgenomen belastingen over de winst of het verlies
9520;Resultaat deelnemingen 3;W;Winst & Verlies;;;WRed;Aandeel in resultaat van ondernemingen waarin wordt deelgenomen belastingen over de winst of het verlies
9530;Resultaat deelnemingen 4;W;Winst & Verlies;;;WRed;Aandeel in resultaat van ondernemingen waarin wordt deelgenomen belastingen over de winst of het verlies
9540;Resultaat deelnemingen 5;W;Winst & Verlies;;;WRed;Aandeel in resultaat van ondernemingen waarin wordt deelgenomen belastingen over de winst of het verlies
9900;Vennootschapsbelasting;W;Winst & Verlies;;;WBel;Belastingen
9910;Vennootschapsbelasting voorgaande jaren;W;Winst & Verlies;;;WBed;Overige bedrijfskosten
9920;Mutatie latente belastingverplichting;W;Winst & Verlies;;;WBel;Belastingen
9930;Correctie BTW voorgaande jaren;W;Winst & Verlies;;;WBel;Belastingen
